name,address
AMC Kips Bay 15 & IMAX,"570 Second Ave,       New York,      NY      10016"
AMC 34th Street 14 & IMAX,"312 W. 34th St.,       New York,      NY      10001"
AMC Empire 25 & IMAX,"234 West 42nd Street,       New York,      NY      10036"
AMC Lincoln Square 13 & IMAX,"1998 Broadway,       New York,      NY      10023"
"Samuel J. & Ethel LeFrak, American Museum of Natural History","Central Park West at 79th Street,       New York,      NY      10024"
UA Sheepshead Bay Stadium 14 & IMAX,"3907 Shore Parkway,       Brooklyn,      NY      11235"
AMC Fresh Meadows 7 & IMAX,"190-02 Horace Harding Blvd.,       Fresh Meadows,      New York      11365"
AMC Jersey Gardens 20 & IMAX,"651 Kapkowski Road,       Elizabeth,      NJ      07201"
AMC Clifton Commons 16 & IMAX,"405 Route 3 East,       Clifton,      NJ      07014"
AMC Staten Island 11 & IMAX,"2655 Richmond Avenue,       Staten Island,      NY      10314-5821"
Regal New Roc Stadium 18 & IMAX,"33 LeCount Place,       New Rochelle,      NY      10801"
AMC Garden State 16 & IMAX,"1 Garden State Plaza,       Paramus,      NJ      07652"
AMC Aviation 12 & IMAX,"Located at Aviation Plaza on US 1 and South Stiles St.,       Linden,      NJ      07036"
UA Westbury Stadium 12 & IMAX,"7000 Brush Hollow Road,       Westbury,      NY      11590"
City Center 15: Cinema de Lux & IMAX,"19 Mamaroneck Avenue,       White Plains,      NY      10601"
AMC Port Chester 14 & IMAX,"40 Westchester Ave.,       Port Chester,      NY      10573"
UA Farmingdale Stadium 10 & IMAX,"20 Michael Avenue,       Farmingdale,      NY      11735"
AMC Palisades Center 21 & IMAX,"4403 Palisades Center Drive,       West Nyack,      NY      10994"
AMC Monmouth Mall 15 & IMAX,"180 State Rt. 35 S.,       Eatontown,      NJ      07724"
AMC New Brunswick 18 & IMAX,"17 US Highway,       New Brunswick,      NJ      08901"
Regal Deer Park 16 & IMAX,"1050 The Arches Circle,       Deer Park,      NY      11729"
AMC Rockaway 16 & IMAX,"363 Mt. Hope Avenue,       Rockaway,      NJ      07866"
"IMAX, The Maritime Aquarium","Exit 15 off I-95,       Norwalk,      CT      06854"
AMC Stony Brook 17 & IMAX,"2196 Nesconset Highway,       Stony Brook,      NY      11790"
AMC Universal CityWalk Stadium 19 & IMAX,"100 Universal City Plaza,       Universal City,      CA      91608"
AMC Century City 15 & IMAX,"10250 Santa Monica Boulevard,       Los Angeles,      CA      90067"
TCL Chinese Theatres IMAX,"6925 Hollywood Boulevard,       Hollywood,      CA      90028"
AMC Burbank 16 & IMAX,"125 E. Palm Ave.,       Burbank,      CA      91502"
"IMAX, California Science Center","700 Exposition Park Drive,       Los Angeles,      CA      90037"
AMC Promenade 16 & IMAX,"21801 Oxnard Street,       Woodland Hills,      CA      91367"
Edwards Renaissance Stadium 14 & IMAX,"1 East Main Street,       Alhambra,      CA      91801"
Edwards South Gate Stadium 20 & IMAX,"8630 Garfield Avenue,       South Gate,      CA      90280"
AMC Del Amo 18 & IMAX,"3525 Carson St. Suite 73,       Torrance,      CA      90503"
AMC Santa Anita 16 & IMAX,"400 Baldwin Ave,       Arcadia,      CA      91007"
Regal Civic Center Stadium 16 & IMAX,"2751 Tapo Canyon Road,       Simi Valley,      CA      93063"
AMC Rolling Hills 20 & IMAX,"2591 Airport Drive,       Torrance,      CA      90505"
Edwards Valencia Stadium 12 & IMAX,"24435 Town Center Drive,       Santa Clarita,      CA      91355"
AMC Norwalk 20 & IMAX,"12300 E. Civic Center Drive,       Norwalk,      CA      90650"
Edwards Long Beach Stadium 26 & IMAX,"7501 East Carson Boulevard,       Long Beach,      CA      90808"
AMC Puente 20 & IMAX,"1560 South Azusa Avenue,       City of Industry,      CA      91748"
AMC Covina 30 & IMAX,"1414 North Azusa Avenue,       Covina,      CA      91722"
AMC Glendora 12 & IMAX,"1337 E. Gladstone Road,       Glendora,      CA      91740"
AMC 30 at the Block & IMAX,"20 City Blvd. West,       Orange,      CA      92868"
Edwards Camarillo Palace Stadium 12 & IMAX,"680 Ventura Boulevard,       Camarillo,      CA      93010"
Cinemark 22 & IMAX,"2600 West Avenue I,       Lancaster,      CA      93534"
Edwards Ontario Palace Stadium 22 & IMAX,"4900 East 4th Street,       Ontario,      CA      91764"
Edwards Irvine Spectrum 21 & IMAX,"500 Spectrum Centre Drive,       Irvine,      CA      92618"
Navy Pier IMAX at AMC,"700 East Grand Avenue - Suite 115,       Chicago,      IL      60611"
Regal City North Stadium 14 & IMAX,"2600 N. Western Ave,       Chicago,      IL      60647"
AMC Quarry 14 & IMAX,"9201 W. 63rd Street,       Hodgkins,      IL      60525"
AMC Showplace Village Crossing & IMAX,"7000 Carpenter Road,       Skokie,      IL      60077"
AMC Oakbrook 12 & IMAX,"600 Oakbrook Center,       Oak Brook,      Illinois      60523"
AMC DINE-IN Yorktown 18 & IMAX,"80 Yorktown Shopping Center,       Lombard,      IL      60148"
AMC Showplace Niles 12 & IMAX,"301 Golf Mill Center,       Niles,      IL      60714"
Cinemark at Seven Bridges & IMAX,"6500 Route 53,       Woodridge,      IL      60517"
AMC Streets of Woodfield & IMAX,"601 North Martingale Road,       Schaumburg,      IL      60173"
AMC Showplace Schererville 16 & IMAX,"875 Deercreek Drive,       Schererville,      IN      46375"
Regal Lincolnshire Stadium 15 & IMAX,"300 Parkway Drive,       Lincolnshire,      IL      60069"
AMC Showplace New Lenox 14 & IMAX,"1320 W. Maple Street,       New Lenox,      IL      60451"
AMC Showplace Naperville 16 & IMAX,"2815 Showplace Drive,       Naperville,      IL      60564"
AMC South Barrington 30 & IMAX,"175 Studio Drive,       South Barrington,      IL      60010"
Portage 16 & IMAX,"6550 US Highway 6,       Portage,      IN      46368"
Randall 15 & IMAX,"550 North Randall Road,       Batavia,      IL      60510"
Regal South Beach Stadium 18 & IMAX,"1120 Lincoln Road,       Miami Beach,      FL      33139"
AMC Sunset Place 24 & IMAX,"5701 Sunset Drive,       South Miami,      FL      33143"
Cobb Dolphin 19 & IMAX,"11471 NW 12th Street,       Miami,      FL      33172"
AMC Aventura 24 & IMAX,"19501 Biscayne Blvd. In Aventura,       Aventura,      FL      33180"
Regal Kendall Village Stadium 16 & IMAX,"8595 SW 124 Avenue,       Miami,      FL      33183"
AMC Pembroke Lakes 9 & IMAX,"12085 Pines Blvd.,       Pembroke Pines,      FL      33026"
"Autonation IMAX, Museum of Discovery & Science","401 SW 2nd Street,       Fort Lauderdale,      FL      33312"
Regal Sawgrass Stadium 23 & IMAX,"2600 NW 136th Avenue,       Sunrise,      FL      33323"
Frank Delray MarketPlace Stadium 12 & IMAX,"14775 Lyons Road,       Delray Beach,      FL      33446"
AMC Northpark 15 & IMAX,"8687 N. Central Expressway,       Dallas,      TX      75225"
AMC Mesquite 30 & IMAX,"19919 Lyndon B. Johnson Freeway,       Dallas,      TX      75149"
Cinemark 17 & IMAX,"11819 Webb Chapel Road,       Dallas,      TX      75234"
AMC Firewheel 18 & IMAX,"100 Coneflower Drive,       Garland,      TX      75040"
AMC Grapevine Mills 30 & IMAX,"3150 Grapevine Mills Parkway,       Grapevine,      TX      76051"
AMC Stonebriar 24 & IMAX,"2601 Preston Road,       Frisco,      TX      75034"
AMC The Parks at Arlington 18 & IMAX,"3861 S. Cooper,       Arlington,      TX      76015"
AMC Highland Village 12 & IMAX,"4090 Barton Creek,       Highland Village,      TX      75077"
"Omnitheatre, Fort Worth Museum of Science & History","1600 Gendy St,       Fort Worth,      TX      76107"
"Tuttleman IMAX, The Franklin Institute","222 North 20th Street,       Philadelphia,      PA      19103"
UA Riverview Plaza Stadium 17 & IMAX,"1400 S. Columbus Blvd.,       Philadelphia,      PA      19147-5526"
AMC Cherry Hill 24 & IMAX,"2121 Route 38,       Cherry Hill,      NJ      08002"
AMC Philadelphia Mills 14 & IMAX,"1149 Franklin Mills Circle,       Philadelphia,      PA      19154"
AMC Neshaminy 24 & IMAX,"3900 Rockhill Drive,       Bensalem,      PA      19020"
Regal Warrington Crossing Stadium 22 & IMAX,"140 Easton Road,       Warrington,      PA      18976"
UA King of Prussia Stadium 16 & IMAX,"Located on Mall Boulevard across from The Plaza King of Prussia,       King of Prussia,      PA      19406"
Regal Downingtown Stadium 16 & IMAX,"100 Quarry Road,       Downingtown,      PA      19335"
AMC Hamilton 24 & IMAX,"325 Sloan Ave.,       Hamilton,      NJ      08619"
Penn Cinema Riverfront & IMAX,"401 South Madison Street,       Wilmington,      DE      19801"
AMC Center Valley 16 & IMAX,"2805 Center Valley Parkway,       Center Valley,      PA      18034"
RC Reading Movies 11 & IMAX,"30 North Second Street,       Reading,      PA      19601"
Edwards Houston Marq*E Stadium 23 & IMAX,"7620 Katy Freeway,       Houston,      TX      77024"
AMC Studio 30 & IMAX,"2949 Dunvale Road,       Houston,      TX      77063"
AMC Willowbrook 24 & IMAX,"17145 Tomball Parkway,       Houston,      Texas      77064"
AMC Fountains 18 & IMAX,"11225 Fountain Lake Drive,       Stafford,      Texas      77477"
AMC Gulf Pointe 30 & IMAX,"11801 South Sam Houston Parkway,       Houston,      TX      77089"
AMC Deerbrook 24 & IMAX,"20131 Highway 59 N, Suite 8000,       Humble,      Texas      77338"
AMC First Colony 24 & IMAX,"100 Coneflower Drive,       Sugar Land,      TX      77479"
Regal Lone Star 19 & IMAX,"24720 Tomball Parkway,       Tomball,      TX      77375"
AMC Metropark 10 & IMAX,"17943 I-45 South,       Shenandoah,      Texas      77385"
"Lockheed Martin IMAX, National Air & Space Museum","601 Independence Avenue SW,       Washington,      DC      20560"
AMC Georgetown 14 & IMAX,"3111 K Street, N.W.,       Washington,      DC      20007"
Regal Majestic Cinema 20 & IMAX,"900 Ellsworth Drive,       Silver Spring,      MD      20910"
AMC Hoffman Center 22 & IMAX,"206 Swamp Fox Road,       Alexandria,      VA      22314"
AMC Magic Johnson Capital Center 12 & IMAX,"800 Shopper's Way,       Glenarden,      MD      20774"
